"RecipientID","age","male","race_1","race_2","race_3","race_4","race_5","race_5_TEXT","race_6","race_7","race_black","latino","educ_r","inc_r","DL_indiv","DL_house","auto_house","smartphone","commutetrip","tripfreq_1","city","optin","overall1_1","overall2_1","triprating_1","rating_1","rating_5","wait1","cr_rider","cr_line","cr_min_late","cr_min_travel","cr_min_benchmark","trx_time","next_train","prev_train","start_mode","start_line","hw_mean","hw_bench","hw_perf","hw_guess","hw_guess_min","hw_mean_min","traveltime_mean","traveltime_guess","traveltime_bench","traveltime_bench_guess","traveltime_perf","cityserv_comb","mayor_app_comb","treat_2","party","ideo","polinfo","voted","cr_min_late.1","hwtravel_delay","hwtravel_delay_log","delay_comb","delay_source","delay_line","delay_comb_log","delay_comb_dev","delay_comb_bin","delay_comb_bin2","hwtraveltime","waittraveltime_comb","waittravel_source","waittraveltime_comb_log","runningvar_comb","runningvar_comb_min"
"MLRP_51qKmTuSXe9CpiR",1,1,0,0,0,0,0,"",1,NA,0,0,NA,1,1,4,4,2,1,7,"2461",0,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,2,0,NA,NA,NA,NA,"2015-07-22 06:17:00",NA,NA,"Subway","Green Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_55XlhoxywkS8NJb",1,1,0,0,0,0,0,"",1,NA,0,0,1,0.5,1,2,2,1,1,5,"2114",1,0.666666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0.833333333333333,5,0,NA,NA,NA,NA,"2015-07-19 17:43:00","2015-07-19 17:43:10","2015-07-19 17:33:10","Subway","Orange Line",600,600,0,10,0.166666666666667,10,774,702,673.666666666667,671,1.14893617021277,0.666666666666667,NA,0,1,0.666666666666667,0.8,1,NA,-4.31666666666667,0.416514944294749,-4.31666666666667,"Subway","Orange Line",0.416514944294749,-1.95,0,0,11.8666666666667,11.8666666666667,"Subway",2.55463998780268,-10,-0.166666666666667
"MLRP_55Zb7jgiHfLc0Zv",1,NA,0,0,0,0,0,"",1,NA,0,0,NA,NA,1,2,2,2,1,7,"2148",0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.5,5,0,NA,NA,NA,NA,"2015-07-20 07:30:00","2015-07-20 07:32:27","2015-07-20 07:27:37","Subway","Orange Line",290,360,0,147,2.45,4.83333333333333,1034.75,979,992,992,1.04309475806452,NA,NA,NA,NA,NA,NA,0,NA,-0.766666666666666,0,-0.766666666666666,"Subway","Orange Line",0,-1.83777777777777,0,0,18.7666666666667,18.7666666666667,"Subway",2.98399701733557,143,2.38333333333333
"MLRP_56nEtZ0mGrLYrbf",1,0,0,0,0,0,0,"",1,NA,0,0,NA,1,1,3,3,2,1,7,"2382",0,0.166666666666667,0.166666666666667,0.833333333333333,1,0.833333333333333,5,1,"Kingston/Plymouth Line",NA,NA,NA,NA,NA,NA,"Commuter Rail","Kingston/Plymouth Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR","Kingston/Plymouth Line",NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_56o3WzZrxMFWZ3D",1,1,0,0,0,0,0,"",1,NA,0,0,NA,0.75,1,3,3,1,0,NA,"1960",0,0.666666666666667,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_5A9YS0RNHvA3Z3v",0.5,0,0,1,0,0,0,"",0,NA,0,0,NA,0,2,3,2,1,1,6,"2144",0,0.166666666666667,0.666666666666667,0.666666666666667,0.5,0.666666666666667,6,0,NA,NA,NA,NA,NA,NA,NA,"Bus","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_5akvB23Z21I4um9",0.5,0,0,0,0,0,0,"",1,NA,0,1,NA,0.5,1,6,4,1,1,7,"2180",0,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.833333333333333,2,0,NA,NA,NA,NA,"2015-07-21 08:42:00","2015-07-21 08:43:22","2015-07-21 08:37:22","Subway","Orange Line",360,360,0,82,1.36666666666667,6,566.2,591,570.6,571,0.992288818787242,NA,NA,NA,NA,NA,NA,0,NA,-1.3,0.287682072451781,-1.3,"Subway","Orange Line",0.287682072451781,-2.1375,0,0,11.2166666666667,11.2166666666667,"Subway",2.50280113966455,-82,-1.36666666666667
"MLRP_5AryvMc8z2guV3D",0.25,1,0,0,1,0,0,"",0,NA,1,0,0.4,0.5,1,3,1,1,0,2,"2124",1,0.666666666666667,0.666666666666667,1,1,0.833333333333333,5,0,NA,NA,NA,NA,NA,NA,NA,"Bus","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,NA,0,-1,0.5,0.4,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
"MLRP_5aTvaAODEttUhtr",1,1,0,0,0,0,0,"",1,NA,0,0,NA,0.5,1,5,4,2,1,7,"2885",0,0.5,0.5,0.666666666666667,0.5,0.5,20,1,"Providence/Stoughton Line",0,73,73,NA,NA,NA,"Commuter Rail","Providence/Stoughton Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,"CR","Providence/Stoughton Line",0,-43.9090909090909,0,0,NA,73,"CR",4.30406509320417,NA,NA
"MLRP_5AzYCISjghgJmgB",0.5,0,0,0,0,0,1,"Human Mutt",0,NA,0,0,NA,0.75,2,2,1,1,1,7,"2155",0,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,4,0,NA,NA,NA,NA,"2015-07-21 17:41:00",NA,NA,"Subway","Red Line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA
